iter	Logloss
0	0.6924782354
1	0.6914413285
2	0.6906912184
3	0.6900107273
4	0.6892652015
5	0.6882937598
6	0.6874038145
7	0.6867516865
8	0.6858938237
9	0.6852451238
10	0.6842072475
11	0.6834714968
12	0.682697207
13	0.6816887502
14	0.6810131949
15	0.6803297646
16	0.6794577693
17	0.6786386811
18	0.6782334208
19	0.6775510286
20	0.6768139422
21	0.6763739092
22	0.6756851191
23	0.6752721055
24	0.6745296439
25	0.6740492968
26	0.6735817571
27	0.6730876795
28	0.6722184789
29	0.671515972
30	0.6709471557
31	0.6702942097
32	0.6696485294
33	0.6692246046
34	0.6685554041
35	0.6678210915
36	0.6671348464
37	0.6663353279
38	0.6660237927
39	0.6647831594
40	0.6640533438
41	0.6633635382
42	0.6628555814
43	0.6622943514
44	0.6618312242
45	0.6612520809
46	0.6608571223
47	0.660129325
48	0.6593111263
49	0.6585927791
50	0.6578439033
51	0.6572013756
52	0.6565951551
53	0.6560792959
54	0.6556789687
55	0.6550390719
56	0.6545399418
57	0.6541936919
58	0.6535081264
59	0.6528535658
60	0.6524786737
61	0.6520075153
62	0.6514517455
63	0.6509644316
64	0.6504126189
65	0.6501033478
66	0.6496847842
67	0.6488168537
68	0.6483545758
69	0.6476776603
70	0.6471903686
71	0.6466169952
72	0.6460373835
73	0.6457208931
74	0.6452604262
75	0.6443383375
76	0.6434384244
77	0.6429535528
78	0.6421500551
79	0.6416680082
80	0.6412134283
81	0.6407495087
82	0.6402285274
83	0.6397521311
84	0.6392754574
85	0.6387536776
86	0.6382446482
87	0.6377526819
88	0.6372204781
89	0.6367396024
90	0.6360775555
91	0.6355123514
92	0.6349651315
93	0.6343915856
94	0.6336003
95	0.6331786383
96	0.6325349678
97	0.6322215963
98	0.6316533831
99	0.6311022453
100	0.6305851179
101	0.6300310407
102	0.6293140389
103	0.6288568041
104	0.6285420713
105	0.6279434407
106	0.6274743522
107	0.6267326433
108	0.6260872894
109	0.6254507825
110	0.6250504694
111	0.6244968012
112	0.6240635341
113	0.6234575557
114	0.6227704111
115	0.622180108
116	0.621802649
117	0.6214991311
118	0.6210490404
119	0.6207367788
120	0.6205005655
121	0.61981723
122	0.619363795
123	0.6188335771
124	0.6183883537
125	0.6178329893
126	0.6172992567
127	0.6168423099
128	0.6165766659
129	0.6159760863
130	0.6155634367
131	0.6151539729
132	0.6144401506
133	0.6138495286
134	0.6135652058
135	0.6131233413
136	0.6128381065
137	0.6125811659
138	0.6120645855
139	0.6115943136
140	0.6109715661
141	0.6105941011
142	0.6099723885
143	0.6096712337
144	0.6093933179
145	0.6088185592
146	0.6083083692
147	0.6078214817
148	0.6076114
149	0.6070155572
150	0.6064924811
151	0.6061359453
152	0.6055412313
153	0.605249223
154	0.6048665056
155	0.6042140746
156	0.6037895051
157	0.6033044251
158	0.6027449767
159	0.6024054033
160	0.6018274492
161	0.6016481021
162	0.601229594
163	0.6007032916
164	0.6003113901
165	0.5998618714
166	0.5992017599
167	0.5987747148
168	0.5983817954
169	0.5977170967
170	0.597373866
171	0.596903694
172	0.5961548555
173	0.5957845024
174	0.5953044679
175	0.5949211295
176	0.5945360754
177	0.5939295323
178	0.5934195546
179	0.592974206
180	0.5925470555
181	0.5921878498
182	0.5919473315
183	0.5915114943
184	0.5910734322
185	0.5906176763
186	0.5899127105
187	0.5892565319
188	0.5888737413
189	0.5885060092
190	0.5881449963
191	0.5877882706
192	0.5871526739
193	0.586815496
194	0.5863786128
195	0.5859838207
196	0.5855096978
197	0.5849605216
198	0.5845287512
199	0.5841206112
200	0.583546309
201	0.5831283911
202	0.5828177583
203	0.5823747586
204	0.5816602059
205	0.5809327887
206	0.5804516034
207	0.5800117431
208	0.5796478954
209	0.5791187868
210	0.5784912236
211	0.5780938525
212	0.5776171411
213	0.5770375117
214	0.5764772337
215	0.5759974994
216	0.5751766977
217	0.574717385
218	0.5741078038
219	0.573439912
220	0.5732087595
221	0.5727414189
222	0.5722564968
223	0.5719735428
224	0.5714568578
225	0.5712115362
226	0.57076719
227	0.57019885
228	0.5698098146
229	0.5694799943
230	0.5689954603
231	0.5685978021
232	0.568253916
233	0.5679830778
234	0.5673638569
235	0.5668574491
236	0.5663144871
237	0.5656262025
238	0.5650870147
239	0.5645729479
240	0.5641355055
241	0.5635079416
242	0.5628468283
243	0.5624451786
244	0.5618527908
245	0.5614303089
246	0.5609011957
247	0.5604924862
248	0.5599654768
249	0.5593491249
