iter	Passed	Remaining
0	17	4247
1	31	3923
2	46	3836
3	61	3794
4	85	4180
5	106	4348
6	129	4511
7	152	4623
8	178	4773
9	203	4887
10	227	4944
11	248	4920
12	264	4819
13	281	4738
14	298	4673
15	315	4607
16	336	4614
17	357	4603
18	377	4585
19	393	4526
20	410	4475
21	434	4504
22	457	4515
23	479	4513
24	499	4496
25	517	4457
26	535	4419
27	555	4407
28	573	4371
29	592	4343
30	609	4309
31	635	4328
32	657	4322
33	684	4347
34	709	4361
35	734	4365
36	760	4376
37	784	4376
38	800	4331
39	815	4282
40	832	4243
41	850	4211
42	867	4174
43	885	4144
44	901	4106
45	919	4078
46	937	4049
47	951	4005
48	970	3980
49	988	3952
50	1006	3928
51	1025	3906
52	1044	3880
53	1062	3856
54	1080	3830
55	1097	3801
56	1114	3773
57	1131	3745
58	1150	3724
59	1168	3699
60	1185	3673
61	1202	3647
62	1222	3628
63	1240	3605
64	1257	3579
65	1272	3546
66	1287	3515
67	1301	3484
68	1316	3452
69	1330	3422
70	1346	3395
71	1361	3365
72	1376	3337
73	1391	3309
74	1406	3280
75	1420	3252
76	1435	3224
77	1449	3196
78	1466	3174
79	1481	3147
80	1496	3123
81	1511	3097
82	1526	3071
83	1541	3045
84	1555	3019
85	1570	2994
86	1584	2969
87	1599	2944
88	1614	2920
89	1632	2901
90	1649	2881
91	1665	2860
92	1680	2837
93	1695	2813
94	1709	2789
95	1724	2766
96	1738	2742
97	1753	2719
98	1769	2698
99	1784	2676
100	1798	2653
101	1813	2630
102	1828	2609
103	1842	2587
104	1857	2564
105	1872	2543
106	1886	2521
107	1901	2500
108	1917	2479
109	1931	2458
110	1947	2438
111	1961	2417
112	1978	2398
113	1993	2377
114	2008	2357
115	2023	2337
116	2037	2316
117	2054	2297
118	2068	2276
119	2082	2255
120	2102	2241
121	2117	2221
122	2174	2245
123	2358	2396
124	2400	2400
125	2430	2391
126	2457	2379
127	2508	2391
128	2542	2384
129	2563	2366
130	2583	2346
131	2605	2329
132	2626	2310
133	2646	2291
134	2671	2275
135	2692	2256
136	2712	2237
137	2732	2217
138	2754	2199
139	2774	2179
140	2804	2167
141	2826	2149
142	2847	2130
143	2868	2111
144	2889	2092
145	2912	2074
146	2935	2057
147	2956	2037
148	2980	2020
149	3003	2002
150	3023	1981
151	3042	1961
152	3061	1940
153	3080	1920
154	3100	1900
155	3131	1886
156	3170	1878
157	3204	1865
158	3227	1847
159	3252	1829
160	3275	1810
161	3297	1791
162	3320	1772
163	3342	1752
164	3370	1736
165	3394	1717
166	3422	1701
167	3444	1681
168	3471	1663
169	3494	1644
170	3519	1625
171	3541	1606
172	3575	1591
173	3597	1571
174	3620	1551
175	3644	1532
176	3667	1512
177	3688	1491
178	3707	1470
179	3730	1450
180	3749	1429
181	3768	1407
182	3787	1386
183	3807	1365
184	3834	1347
185	3853	1325
186	3870	1304
187	3889	1282
188	3905	1260
189	3922	1238
190	3939	1216
191	3956	1195
192	3980	1175
193	3997	1153
194	4013	1132
195	4031	1110
196	4051	1090
197	4073	1069
198	4096	1049
199	4117	1029
200	4138	1008
201	4161	988
202	4183	968
203	4205	948
204	4229	928
205	4249	907
206	4269	886
207	4290	866
208	4314	846
209	4334	825
210	4353	804
211	4376	784
212	4396	763
213	4415	742
214	4432	721
215	4450	700
216	4469	679
217	4486	658
218	4503	637
219	4521	616
220	4539	595
221	4556	574
222	4571	553
223	4587	532
224	4603	511
225	4623	491
226	4640	470
227	4656	449
228	4672	428
229	4688	407
230	4703	386
231	4720	366
232	4742	345
233	4762	325
234	4783	305
235	4804	285
236	4825	264
237	4845	244
238	4865	223
239	4885	203
240	4906	183
241	4927	162
242	4948	142
243	4971	122
244	4996	101
245	5019	81
246	5039	61
247	5064	40
248	5084	20
249	5105	0
